DataPack file,Table name,Table population
G54A,Total Family Income (Weekly) by Labour Force Status of Partners for Couple Families with No Children,Couple families with no children
G54B,Total Family Income (Weekly) by Labour Force Status of Partners for Couple Families with No Children,Couple families with no children
G55A,Total Family Income (Weekly) by Labour Force Status of Parents/Partners for Couple Families with Children,Couple families with children
G55B,Total Family Income (Weekly) by Labour Force Status of Parents/Partners for Couple Families with Children,Couple families with children
G56A,Total Family Income (Weekly) by Labour Force Status of Parent for One Parent Families,One parent families
G56B,Total Family Income (Weekly) by Labour Force Status of Parent for One Parent Families,One parent families
G57A,Occupation by Age by Sex,Employed persons aged 15 years and over 
G57B,Occupation by Age by Sex,Employed persons aged 15 years and over 
G58A,Occupation by Hours Worked by Sex,Employed persons aged 15 years and over 
G58B,Occupation by Hours Worked by Sex,Employed persons aged 15 years and over 
G59,Method of Travel to Work by Sex,Employed persons aged 15 years and over 
